RSID,Gene,Type,Outcome,Link
rs8078936,TRPV25,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804463
rs375458057,TRPV26,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804464
rs113287435,TRPV27,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804465
rs71153373,TRPV28,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804466
rs57405156,TRPV29,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804467
rs877611,TRPV30,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804468
rs224547,TRPV31,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804469
rs1018658001,TRPV32,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804470
rs3826503,TRPV33,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804471
rs4790523,TRPV34,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804472
rs4790522,TRPV35,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804473
rs4790521,TRPV36,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804474
rs150895493,TRPV37,spice sensitivity,burning pain and capsaicin sensitivity,https://journals.sagepub.com/doi/10.1177/1744806918804475
rs4988235,MCM6,lactose sensitivity,prevent lactose intolerance,https://pubmed.ncbi.nlm.nih.gov/22826639/
 rs182549,MCM6,lactose sensitivity,prevent lactose intolerance,https://pubmed.ncbi.nlm.nih.gov/22826639/
rs145946881,MCM6,lactose sensitivity,prevent lactose intolerance,https://pubmed.ncbi.nlm.nih.gov/22826639/
rs41380347,MCM6,lactose sensitivity,prevent lactose intolerance,https://pubmed.ncbi.nlm.nih.gov/22826639/
 rs41525747,MCM6,lactose sensitivity,prevent lactose intolerance,https://pubmed.ncbi.nlm.nih.gov/22826639/
rs2282679,GC,vitamin D,lower vitamin D levels,https://pubmed.ncbi.nlm.nih.gov/22826639/
rs12785878,NADSYN1,vitamin D,lower vitamin D levels,
rs10741657,CYP2R1,vitamin D,lower vitamin D levels,
rs6013897,,vitamin D,lower vitamin D levels,
rs117913124,CYP2R1,vitamin D,significantly lower vitamin D levels,
rs1799945,HFE,iron,low iron level,
rs1799899,TF,iron ,low iron level,
rs3811647,TF,iron,low iron level,
rs1799852,TF,lipid,increased fatty acid level,
rs4846914,GALNT2,lipid,increased fatty acid level,
rs17145738,TBL2/MLXIPL,lipid,increased fatty acid level,
rs17321515,TRIB1,lipid,increased fatty acid level,
rs12130333,"ANGPTL3, LEPR",lipid,increased fatty acid level,
rs780094 ,GCKR,lipid,increased fatty acid level,
rs3135506 ,APOA5,lipid,increased fatty acid level,
rs662799 ,APOA5,lipid,increased fatty acid level,
rs328,LPL,lipid,increased fatty acid level,
rs1260326,GCKR,lipid,increased fatty acid level,
rs7412,APOE,,,
